 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[908753355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[908921355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[909089355] kistler:   -0.04882 Nm	kollmorgen:    0.11054 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[909257355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[909425355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[909593355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[909761355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[909929355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910097355] kistler:   -0.04882 Nm	kollmorgen:    0.16845 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910265355] kistler:   -0.04882 Nm	kollmorgen:    0.16319 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910433355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910601355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910769355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[910937355] kistler:   -0.07324 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00010 rad/s
[911105355] kistler:   -0.07324 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00009 rad/s
[911273355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00009 rad/s
[911441355] kistler:   -0.04882 Nm	kollmorgen:    0.11054 Nm	steer:   -0.02980 rad	rate:    0.00010 rad/s
[911609355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00011 rad/s
[911777355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00012 rad/s
[911945355] kistler:   -0.07324 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00010 rad/s
[912113355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00011 rad/s
[912281355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00011 rad/s
[912449355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00012 rad/s
[912617355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00012 rad/s
[912785355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[912953355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913121355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913289355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913457355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913625355] kistler:   -0.04882 Nm	kollmorgen:    0.10528 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913793355] kistler:   -0.04882 Nm	kollmorgen:    0.11054 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[913961355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914129355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914297355] kistler:   -0.04882 Nm	kollmorgen:    0.09475 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914465355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914633355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914801355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[914969355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915137355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915305355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915473355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915641355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915809355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[915977355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916145355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916313355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916481355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916649355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916817355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[916985355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917153355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917321355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917489355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917657355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917825355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[917993355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[918161355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[918329355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[918497355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[918665355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[918833355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[919001355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[919169355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[919337355] kistler:   -0.02441 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[919505355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[919673355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[919841355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[920009355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[920177355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[920345355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[920513355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[920681355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[920849355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921017355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921185355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921353355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921521355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921689355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[921857355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922025355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922193355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922361355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922529355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922697355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[922865355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923033355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923201355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923369355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923537355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923705355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[923873355] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[924041355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[924209355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
